Year,Value,President
1991,511,Akbar Hashemi Rafsanjani
1992,655,Akbar Hashemi Rafsanjani
1993,890,Akbar Hashemi Rafsanjani
1994,1221,Akbar Hashemi Rafsanjani
1995,1725,Akbar Hashemi Rafsanjani
1996,2194,Akbar Hashemi Rafsanjani
1997,2779,Mohammad Khatami
1998,3206,Mohammad Khatami
1999,4172,Mohammad Khatami
2000,5731,Mohammad Khatami
2001,6163,Mohammad Khatami
2002,6907,Mohammad Khatami
2003,8193,Mohammad Khatami
2004,8613,Mohammad Khatami
2005,8963,Mahmoud Ahmadinejad
2006,9170,Mahmoud Ahmadinejad
2007,9281,Mahmoud Ahmadinejad
2008,9428,Mahmoud Ahmadinejad
2009,9864,Mahmoud Ahmadinejad
2010,10254,Mahmoud Ahmadinejad
2011,10616,Mahmoud Ahmadinejad
2012,12175,Mahmoud Ahmadinejad
2013,18414,Hassan Rouhani
2014,25941,Hassan Rouhani
2015,29011,Hassan Rouhani
2016,30914,Hassan Rouhani
2017,33226,Hassan Rouhani
2018,40864,Hassan Rouhani
2019,140000,Hassan Rouhani
2020,180000,Hassan Rouhani
