Year,Population,President
1991,57679034.00000001,Akbar Hashemi Rafsanjani
1992,58780370.0,Akbar Hashemi Rafsanjani
1993,59723764.0,Akbar Hashemi Rafsanjani
1994,60590614.0,Akbar Hashemi Rafsanjani
1995,61442664.00000001,Akbar Hashemi Rafsanjani
1996,62294920.0,Akbar Hashemi Rafsanjani
1997,63136312.00000001,Mohammad Khatami
1998,63971835.99999999,Mohammad Khatami
1999,64800880.0,Mohammad Khatami
2000,65623405.0,Mohammad Khatami
2001,66449112.00000001,Mohammad Khatami
2002,67284796.0,Mohammad Khatami
2003,68122938.0,Mohammad Khatami
2004,68951281.0,Mohammad Khatami
2005,69762347.00000001,Mahmoud Ahmadinejad
2006,70554760.0,Mahmoud Ahmadinejad
2007,71336475.0,Mahmoud Ahmadinejad
2008,72120604.0,Mahmoud Ahmadinejad
2009,72924837.0,Mahmoud Ahmadinejad
2010,73762519.0,Mahmoud Ahmadinejad
2011,74634957.0,Mahmoud Ahmadinejad
2012,75539878.0,Mahmoud Ahmadinejad
2013,76481961.0,Hassan Rouhani
2014,77465770.0,Hassan Rouhani
2015,78492215.0,Hassan Rouhani
2016,79563989.0,Hassan Rouhani
2017,80673883.0,Hassan Rouhani
2018,81800188.0,Hassan Rouhani
2019,83000000.0,Hassan Rouhani
2020,85000000.0,Hassan Rouhani
